,IRIS1,TYP_IRIS,NB,APL,LIB_IRIS,DEPCOM,LIBCOM
252,60880503,A,1.0,149.4853856815955,Saint-Roch-Jean XXIII,06088,Nice
253,60880504,A,3.0,157.86586466466449,Vauban,06088,Nice
254,60880505,A,1.0,147.92144939166218,Saint-Roch-Ricolfi,06088,Nice
255,60880506,A,0.0,144.9413316064832,Saint-Charles,06088,Nice
256,60880507,A,5.0,156.51195700542505,Roquebillière,06088,Nice
257,60880508,A,0.0,148.8234370617021,Pierre Semard,06088,Nice
258,60880509,A,2.0,152.21981971221422,Mont Gros,06088,Nice
259,60880601,A,2.0,166.72705070496943,Lyautey-Gendarmerie,06088,Nice
260,60880602,A,0.0,163.71275574931906,Paschetta,06088,Nice
261,60880603,A,2.5,161.88550849990006,Pasteur,06088,Nice
262,60880604,A,0.0,152.87314025547317,Pasteur-Voie Romaine,06088,Nice
263,60880605,A,0.0,151.2839209917668,Pasteur-Saint-Pons,06088,Nice
264,60880701,A,0.0,154.81016135956472,Route de Turin,06088,Nice
265,60880702,A,5.0,134.4155774232295,Bon Voyage,06088,Nice
266,60880801,A,0.0,81.12254027613041,Vinaigrier,06088,Nice
267,60880901,A,0.0,132.38077434170705,Ariane-Les Chênes,06088,Nice
268,60880902,A,7.0,127.23640634477654,Ariane-Monzie,06088,Nice
269,60880903,A,1.0,92.82514814534402,La Lauvette,06088,Nice
270,60880904,A,3.5,122.83546139109225,Ariane-Ripert,06088,Nice
271,60880905,A,2.0,111.98775845762604,Ariane-Saramito,06088,Nice
272,60881001,A,0.0,147.25420168510263,Cimiez-Monastère,06088,Nice
273,60881002,A,2.0,143.13943462475692,Brancolar-Régina,06088,Nice
274,60881003,A,1.0,140.09384704745824,Brancolar-Scudéri,06088,Nice
275,60881004,A,5.5,157.30421647706055,Cap de Croix,06088,Nice
276,60881005,A,10.5,128.97688395099362,Rimiez,06088,Nice
277,60881101,A,1.0,156.5645792254902,Puget,06088,Nice
278,60881102,A,3.0,151.13528697158483,Parc Chambrun,06088,Nice
279,60881103,A,4.0,138.05186795356556,Le Ray-Gravier-Dunant,06088,Nice
280,60881104,A,0.0,133.9981881859635,Gravier,06088,Nice
281,60881105,A,0.0,109.44283816820698,Henry Dunant,06088,Nice
282,60881201,A,3.0,138.89473069677342,Nice Nord-Saqui,06088,Nice
283,60881202,A,0.0,140.62677672152714,Comte de Falicon,06088,Nice
284,60881203,A,2.0,122.28699735861437,Cernuschi,06088,Nice
285,60881204,A,1.0,104.91011810245003,Las Planas-La Vallière,06088,Nice
286,60881301,A,1.0,158.93522437613058,Cessole,06088,Nice
287,60881302,A,9.0,163.19887603029233,Saint-Barthélemy,06088,Nice
288,60881303,A,6.0,157.42180018497007,Gorbella,06088,Nice
289,60881304,A,1.0,150.8870270488712,Saint-Sylvestre,06088,Nice
290,60881305,A,2.5,148.82097874204703,Villa Arson,06088,Nice
291,60881306,A,2.0,147.40435563850588,Cyrnos,06088,Nice
292,60881307,A,0.0,114.6308019911498,Cyrille Besset-La Forêt,06088,Nice
293,60881308,A,4.0,129.59145392632112,La Clua,06088,Nice
294,60881309,A,2.5,149.31100224965525,Canavese,06088,Nice
295,60881401,A,0.0,165.72591530770148,Évêché,06088,Nice
296,60881402,A,3.0,172.12789723116902,Bellevue,06088,Nice
297,60881403,A,0.0,161.96220528058612,Le Righi,06088,Nice
298,60881404,A,0.0,130.08689245637666,Mantega,06088,Nice
299,60881501,A,0.0,181.23361842479147,Marceau,06088,Nice
300,60881502,A,2.0,175.0403510987848,Thiole,06088,Nice
301,60881503,A,5.0,173.59945825668345,Jeanne d'Arc-Fuon-Cauda,06088,Nice
302,60881504,A,4.5,171.82855800215393,Michel-Ange,06088,Nice
303,60881505,A,2.0,160.2671406421636,Michelet,06088,Nice
304,60881506,A,0.0,165.0293060870699,Borriglione-Saint Lambert,06088,Nice
305,60881601,A,3.0,156.97287432115817,Carabacel,06088,Nice
