psp_spe_snds,ann,age_ben_snds,nb,total_nb,ratio
13,24,99,3085,4086569,0.0007549120056458119
14,20,0,186585,7145839,0.026110999702064375
14,20,20,335894,7145839,0.04700553706849538
14,20,30,581788,7145839,0.08141633193806913
14,20,40,861569,7145839,0.12056932712869685
14,20,50,1226916,7145839,0.17169656355257934
14,20,60,1443205,7145839,0.20196438794660782
14,20,70,1455143,7145839,0.20363501052850477
14,20,80,1044901,7145839,0.1462250968710602
14,20,99,9838,7145839,0.001376745263922123
14,21,0,204001,7335732,0.02780922203810063
14,21,20,357801,7335732,0.0487750915655043
14,21,30,607121,7335732,0.0827621565237116
14,21,40,880273,7335732,0.11999797702533299
14,21,50,1245591,7335732,0.16979777887196534
14,21,60,1465725,7335732,0.19980623610568107
14,21,70,1507770,7335732,0.20553777046380647
14,21,80,1057711,7335732,0.1441861562009081
14,21,99,9739,7335732,0.0013276112049894952
14,22,0,201226,7317048,0.027500981270042236
14,22,20,349243,7317048,0.047730040858007215
14,22,30,588415,7317048,0.08041699330112362
14,22,40,852919,7317048,0.1165659976536986
14,22,50,1218024,7317048,0.16646385263565305
14,22,60,1466619,7317048,0.2004386195088511
14,22,70,1559668,7317048,0.2131553599211048
